Name,PlayerURL,Season,Team,TeamURL,Lg,Salary
Jerome Allen,http://basketball-reference.com/players/a/allenje01.html,1999-00,Milwaukee Bucks,/teams/MIL/2000.html,NBA,510000
Lavoy Allen,http://basketball-reference.com/players/a/allenla01.html,2011-12,Philadelphia 76ers,/teams/PHI/2012.html,NBA,473604
Lavoy Allen,http://basketball-reference.com/players/a/allenla01.html,2012-13,Philadelphia 76ers,/teams/PHI/2013.html,NBA,3000000
Lavoy Allen,http://basketball-reference.com/players/a/allenla01.html,2013-14,Philadelphia 76ers,/teams/PHI/2014.html,NBA,3060000
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2001-02,Miami Heat,/teams/MIA/2002.html,NBA,332817
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2002-03,Miami Heat,/teams/MIA/2003.html,NBA,512435
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2003-04,Miami Heat,/teams/MIA/2004.html,NBA,1510000
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2004-05,Miami Heat,/teams/MIA/2005.html,NBA,1950625
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2005-06,Chicago Bulls,/teams/CHI/2006.html,NBA,1670000
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2006-07,Chicago Bulls,/teams/CHI/2007.html,NBA,1803600
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2007-08,Dallas Mavericks,/teams/DAL/2008.html,NBA,998398
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2008-09,Milwaukee Bucks,/teams/MIL/2009.html,NBA,1300000
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2009-10,Denver Nuggets,/teams/DEN/2010.html,NBA,1300000
Malik Allen,http://basketball-reference.com/players/a/allenma01.html,2010-11,Orlando Magic,/teams/ORL/2011.html,NBA,1229255
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,1996-97,Milwaukee Bucks,/teams/MIL/1997.html,NBA,1785000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,1997-98,Milwaukee Bucks,/teams/MIL/1998.html,NBA,2052360
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,1998-99,Milwaukee Bucks,/teams/MIL/1999.html,NBA,2320000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,1999-00,Milwaukee Bucks,/teams/MIL/2000.html,NBA,9000000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2000-01,Milwaukee Bucks,/teams/MIL/2001.html,NBA,10130000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2001-02,Milwaukee Bucks,/teams/MIL/2002.html,NBA,11250000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2002-03,Milwaukee Bucks,/teams/MIL/2003.html,NBA,12375000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2003-04,Seattle SuperSonics,/teams/SEA/2004.html,NBA,13500000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2004-05,Seattle SuperSonics,/teams/SEA/2005.html,NBA,14625000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2005-06,Seattle SuperSonics,/teams/SEA/2006.html,NBA,13223140
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2006-07,Seattle SuperSonics,/teams/SEA/2007.html,NBA,14611570
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2007-08,Boston Celtics,/teams/BOS/2008.html,NBA,16000000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2008-09,Boston Celtics,/teams/BOS/2009.html,NBA,18388430
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2009-10,Boston Celtics,/teams/BOS/2010.html,NBA,18776860
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2010-11,Boston Celtics,/teams/BOS/2011.html,NBA,10000000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2011-12,Boston Celtics,/teams/BOS/2012.html,NBA,10000000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2012-13,Miami Heat,/teams/MIA/2013.html,NBA,3090000
Ray Allen,http://basketball-reference.com/players/a/allenra02.html,2013-14,Miami Heat,/teams/MIA/2014.html,NBA,3229050
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2004-05,Boston Celtics,/teams/BOS/2005.html,NBA,901920
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2005-06,Boston Celtics,/teams/BOS/2006.html,NBA,969696
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2006-07,Boston Celtics,/teams/BOS/2007.html,NBA,1037280
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2007-08,Boston Celtics,/teams/BOS/2008.html,NBA,1868141
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2008-09,Boston Celtics,/teams/BOS/2009.html,NBA,2500000
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2009-10,Boston Celtics,/teams/BOS/2010.html,NBA,2500000
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2010-11,Memphis Grizzlies,/teams/MEM/2011.html,NBA,3000000
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2011-12,Memphis Grizzlies,/teams/MEM/2012.html,NBA,3150000
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2012-13,Memphis Grizzlies,/teams/MEM/2013.html,NBA,3300000
Tony Allen,http://basketball-reference.com/players/a/allento01.html,2013-14,Memphis Grizzlies,/teams/MEM/2014.html,NBA,4494382
Morris Almond,http://basketball-reference.com/players/a/almonmo01.html,2007-08,Utah Jazz,/teams/UTA/2008.html,NBA,1005960
Morris Almond,http://basketball-reference.com/players/a/almonmo01.html,2008-09,Utah Jazz,/teams/UTA/2009.html,NBA,1081440
Derrick Alston,http://basketball-reference.com/players/a/alstode01.html,1994-95,Philadelphia 76ers,/teams/PHI/1995.html,NBA,150000
Derrick Alston,http://basketball-reference.com/players/a/alstode01.html,1995-96,Philadelphia 76ers,/teams/PHI/1996.html,NBA,350000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,1999-00,Milwaukee Bucks,/teams/MIL/2000.html,NBA,301875
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2000-01,Milwaukee Bucks,/teams/MIL/2001.html,NBA,423500
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2001-02,Milwaukee Bucks,/teams/MIL/2002.html,NBA,625000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2002-03,Toronto Raptors,/teams/TOR/2003.html,NBA,37344
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2003-04,Miami Heat,/teams/MIA/2004.html,NBA,688679
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2004-05,Toronto Raptors,/teams/TOR/2005.html,NBA,3500000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2005-06,Houston Rockets,/teams/HOU/2006.html,NBA,3850000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2006-07,Houston Rockets,/teams/HOU/2007.html,NBA,4200000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2007-08,Houston Rockets,/teams/HOU/2008.html,NBA,4550000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2008-09,Orlando Magic,/teams/ORL/2009.html,NBA,4900000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2009-10,New Jersey Nets,/teams/NJN/2010.html,NBA,4300000
Rafer Alston,http://basketball-reference.com/players/a/alstora01.html,2009-10,Miami Heat,/teams/MIA/2010.html,NBA,753133
John Amaechi,http://basketball-reference.com/players/a/amaecjo01.html,1995-96,Cleveland Cavaliers,/teams/CLE/1996.html,NBA,200000
